Date,Close
"Dec 18, 2013",1084.75
"Dec 17, 2013",1069.86
"Dec 16, 2013",1072.98
"Dec 13, 2013",1060.79
"Dec 12, 2013",1069.96
"Dec 11, 2013",1077.29
"Dec 10, 2013",1084.66
"Dec 9, 2013",1078.14
"Dec 6, 2013",1069.87
"Dec 5, 2013",1057.34
"Dec 4, 2013",1058.18
"Dec 3, 2013",1053.26
"Dec 2, 2013",1054.48
"Nov 29, 2013",1059.59
"Nov 27, 2013",1063.11
"Nov 26, 2013",1058.41
"Nov 25, 2013",1045.93
"Nov 22, 2013",1031.89
"Nov 21, 2013",1034.07
"Nov 20, 2013",1022.31
"Nov 19, 2013",1025.20
"Nov 18, 2013",1031.55
"Nov 15, 2013",1033.56
"Nov 14, 2013",1035.23
"Nov 13, 2013",1032.47
"Nov 12, 2013",1011.78
"Nov 11, 2013",1010.59
"Nov 8, 2013",1016.03
"Nov 7, 2013",1007.95
"Nov 6, 2013",1022.75
"Nov 5, 2013",1021.52
"Nov 4, 2013",1026.11
"Nov 1, 2013",1027.04
"Oct 31, 2013",1030.58
"Oct 30, 2013",1030.42
"Oct 29, 2013",1036.24
"Oct 28, 2013",1015.00
"Oct 25, 2013",1015.20
"Oct 24, 2013",1025.55
"Oct 23, 2013",1031.41
"Oct 22, 2013",1007.00
"Oct 21, 2013",1003.30
"Oct 18, 2013",1011.41
"Oct 17, 2013",888.79
"Oct 16, 2013",898.03
"Oct 15, 2013",882.01
"Oct 14, 2013",876.11
"Oct 11, 2013",871.99
"Oct 10, 2013",868.24
"Oct 9, 2013",855.86
"Oct 8, 2013",853.67
"Oct 7, 2013",865.74
"Oct 4, 2013",872.35
"Oct 3, 2013",876.09
"Oct 2, 2013",887.99
"Oct 1, 2013",887.00
"Sep 30, 2013",875.91
"Sep 27, 2013",876.39
"Sep 26, 2013",878.17
"Sep 25, 2013",877.23
"Sep 24, 2013",886.84
"Sep 23, 2013",886.50
"Sep 20, 2013",903.11
"Sep 19, 2013",898.39
"Sep 18, 2013",903.32
"Sep 17, 2013",886.11
"Sep 16, 2013",887.76
"Sep 13, 2013",889.07
"Sep 12, 2013",893.06
"Sep 11, 2013",896.19
"Sep 10, 2013",888.67
"Sep 9, 2013",888.05
