"year","age","team","td","id","total_tds","actual","adjusted_age"
1976,34,"DAL",14,"S/StauRo00",83,1,0
1977,35,"DAL",18,"S/StauRo00",101,1,0
1978,36,"DAL",25,"S/StauRo00",126,1,0
1979,37,"DAL",27,"S/StauRo00",153,1,0
1989,22,"IND",0,"G/GeorJe00",0,0,0
1990,23,"IND",16,"G/GeorJe00",16,1,0
1991,24,"IND",10,"G/GeorJe00",26,1,0
1992,25,"IND",7,"G/GeorJe00",33,1,0
1993,26,"IND",8,"G/GeorJe00",41,1,0
1994,27,"ATL",23,"G/GeorJe00",64,1,0
1995,28,"ATL",24,"G/GeorJe00",88,1,0
1996,29,"ATL",3,"G/GeorJe00",91,1,0
1997,30,"OAK",29,"G/GeorJe00",120,1,0
1998,31,"OAK",4,"G/GeorJe00",124,1,0
1999,32,"MIN",23,"G/GeorJe00",147,1,0
2000,33,"WAS",7,"G/GeorJe00",154,1,0
2001,34,"WAS",0,"G/GeorJe00",154,1,0
1973,24,"CLE",0,"S/SipeBr00",0,0,0
1974,25,"CLE",1,"S/SipeBr00",1,1,0
1975,26,"CLE",1,"S/SipeBr00",2,1,0
1976,27,"CLE",17,"S/SipeBr00",19,1,0
1977,28,"CLE",9,"S/SipeBr00",28,1,0
1978,29,"CLE",21,"S/SipeBr00",49,1,0
1979,30,"CLE",28,"S/SipeBr00",77,1,0
1980,31,"CLE",30,"S/SipeBr00",107,1,0
1981,32,"CLE",17,"S/SipeBr00",124,1,0
1982,33,"CLE",4,"S/SipeBr00",128,1,0
1983,34,"CLE",26,"S/SipeBr00",154,1,0
1975,23,"DAL",0,"W/WhitDa01",0,0,0
1976,24,"DAL",2,"W/WhitDa01",2,1,0
1977,25,"DAL",0,"W/WhitDa01",2,1,0
1978,26,"DAL",0,"W/WhitDa01",2,1,0
1979,27,"DAL",1,"W/WhitDa01",3,1,0
1980,28,"DAL",28,"W/WhitDa01",31,1,0
1981,29,"DAL",22,"W/WhitDa01",53,1,0
1982,30,"DAL",16,"W/WhitDa01",69,1,0
1983,31,"DAL",29,"W/WhitDa01",98,1,0
1984,32,"DAL",11,"W/WhitDa01",109,1,0
1985,33,"DAL",21,"W/WhitDa01",130,1,0
1986,34,"DAL",12,"W/WhitDa01",142,1,0
1987,35,"DAL",12,"W/WhitDa01",154,1,0
1988,36,"DAL",1,"W/WhitDa01",155,1,0
1974,22,"ATL",0,"B/BartSt00",0,0,0
1975,23,"ATL",13,"B/BartSt00",13,1,0
1976,24,"ATL",2,"B/BartSt00",15,1,0
1977,25,"ATL",5,"B/BartSt00",20,1,0
1978,26,"ATL",10,"B/BartSt00",30,1,0
1979,27,"ATL",17,"B/BartSt00",47,1,0
1980,28,"ATL",31,"B/BartSt00",78,1,0
1981,29,"ATL",30,"B/BartSt00",108,1,0
1982,30,"ATL",8,"B/BartSt00",116,1,0
1983,31,"ATL",22,"B/BartSt00",138,1,0
1984,32,"ATL",11,"B/BartSt00",149,1,0
1985,33,"ATL",5,"B/BartSt00",154,1,0
1986,34,"RAM",2,"B/BartSt00",156,1,0
1976,21,"MIN",0,"K/KramTo00",0,0,0
1977,22,"MIN",5,"K/KramTo00",5,1,0
1978,23,"MIN",0,"K/KramTo00",5,1,0
1979,24,"MIN",23,"K/KramTo00",28,1,0
1980,25,"MIN",19,"K/KramTo00",47,1,0
1981,26,"MIN",26,"K/KramTo00",73,1,0
1982,27,"MIN",15,"K/KramTo00",88,1,0
1983,28,"MIN",3,"K/KramTo00",91,1,0
1984,29,"MIN",9,"K/KramTo00",100,1,0
1985,30,"MIN",19,"K/KramTo00",119,1,0
1986,31,"MIN",24,"K/KramTo00",143,1,0
1987,32,"MIN",4,"K/KramTo00",147,1,0
1988,33,"MIN",5,"K/KramTo00",152,1,0
1989,34,"MIN",7,"K/KramTo00",159,1,0
1990,35,"NOR",0,"K/KramTo00",159,1,0
1973,24,"WAS",0,"T/TheiJo00",0,0,0
1974,25,"WAS",1,"T/TheiJo00",1,1,0
1975,26,"WAS",1,"T/TheiJo00",2,1,0
1976,27,"WAS",8,"T/TheiJo00",10,1,0
1977,28,"WAS",7,"T/TheiJo00",17,1,0
1978,29,"WAS",13,"T/TheiJo00",30,1,0
1979,30,"WAS",20,"T/TheiJo00",50,1,0
1980,31,"WAS",17,"T/TheiJo00",67,1,0
1981,32,"WAS",19,"T/TheiJo00",86,1,0
1982,33,"WAS",13,"T/TheiJo00",99,1,0
1983,34,"WAS",29,"T/TheiJo00",128,1,0
1984,35,"WAS",24,"T/TheiJo00",152,1,0
1985,36,"WAS",8,"T/TheiJo00",160,1,0
1998,28,"SFO",0,"G/GarcJe00",0,0,0
1999,29,"SFO",11,"G/GarcJe00",11,1,0
2000,30,"SFO",31,"G/GarcJe00",42,1,0
2001,31,"SFO",32,"G/GarcJe00",74,1,0
2002,32,"SFO",21,"G/GarcJe00",95,1,0
2003,33,"SFO",18,"G/GarcJe00",113,1,0
2004,34,"CLE",10,"G/GarcJe00",123,1,0
2005,35,"DET",3,"G/GarcJe00",126,1,0
2006,36,"PHI",10,"G/GarcJe00",136,1,0
2007,37,"TAM",13,"G/GarcJe00",149,1,0
2008,38,"TAM",12,"G/GarcJe00",161,1,0
2009,39,"PHI",0,"G/GarcJe00",161,1,0
2011,41,"HOU",0,"G/GarcJe00",161,1,0
1955,21,"SFO",0,"M/MorrEa00",0,0,0
1956,22,"SFO",1,"M/MorrEa00",1,1,0
1957,23,"PIT",11,"M/MorrEa00",12,1,0
1958,24,"2TM",5,"M/MorrEa00",17,1,0
1959,25,"DET",5,"M/MorrEa00",22,1,0
1960,26,"DET",4,"M/MorrEa00",26,1,0
1961,27,"DET",7,"M/MorrEa00",33,1,0
1962,28,"DET",4,"M/MorrEa00",37,1,0
1963,29,"DET",24,"M/MorrEa00",61,1,0
1964,30,"DET",4,"M/MorrEa00",65,1,0
1965,31,"NYG",22,"M/MorrEa00",87,1,0
1966,32,"NYG",7,"M/MorrEa00",94,1,0
1967,33,"NYG",3,"M/MorrEa00",97,1,0
1968,34,"BAL",26,"M/MorrEa00",123,1,0
1969,35,"BAL",5,"M/MorrEa00",128,1,0
1970,36,"BAL",9,"M/MorrEa00",137,1,0
1971,37,"BAL",7,"M/MorrEa00",144,1,0
1972,38,"MIA",11,"M/MorrEa00",155,1,0
1973,39,"MIA",0,"M/MorrEa00",155,1,0
1974,40,"MIA",2,"M/MorrEa00",157,1,0
1975,41,"MIA",3,"M/MorrEa00",160,1,0
1976,42,"MIA",1,"M/MorrEa00",161,1,0
1996,22,"ARI",0,"P/PlumJa00",0,0,0
1997,23,"ARI",15,"P/PlumJa00",15,1,0
1998,24,"ARI",17,"P/PlumJa00",32,1,0
1999,25,"ARI",9,"P/PlumJa00",41,1,0
2000,26,"ARI",13,"P/PlumJa00",54,1,0
2001,27,"ARI",18,"P/PlumJa00",72,1,0
2002,28,"ARI",18,"P/PlumJa00",90,1,0
2003,29,"DEN",15,"P/PlumJa00",105,1,0
2004,30,"DEN",27,"P/PlumJa00",132,1,0
2005,31,"DEN",18,"P/PlumJa00",150,1,0
2006,32,"DEN",11,"P/PlumJa00",161,1,0
1997,27,"WAS",0,"G/GreeTr00",0,1,0
1998,28,"WAS",23,"G/GreeTr00",23,1,0
2000,30,"STL",16,"G/GreeTr00",39,1,0
2001,31,"KAN",17,"G/GreeTr00",56,1,0
2002,32,"KAN",26,"G/GreeTr00",82,1,0
2003,33,"KAN",24,"G/GreeTr00",106,1,0
2004,34,"KAN",27,"G/GreeTr00",133,1,0
2005,35,"KAN",17,"G/GreeTr00",150,1,0
2006,36,"KAN",7,"G/GreeTr00",157,1,0
2007,37,"MIA",5,"G/GreeTr00",162,1,0
2008,38,"STL",0,"G/GreeTr00",162,1,0
1962,21,"BUF",0,"L/LamoDa00",0,0,0
1963,22,"BUF",3,"L/LamoDa00",3,1,0
1964,23,"BUF",6,"L/LamoDa00",9,1,0
1965,24,"BUF",3,"L/LamoDa00",12,1,0
1966,25,"BUF",4,"L/LamoDa00",16,1,0
1967,26,"OAK",30,"L/LamoDa00",46,1,0
1968,27,"OAK",25,"L/LamoDa00",71,1,0
1969,28,"OAK",34,"L/LamoDa00",105,1,0
1970,29,"OAK",22,"L/LamoDa00",127,1,0
1971,30,"OAK",16,"L/LamoDa00",143,1,0
1972,31,"OAK",18,"L/LamoDa00",161,1,0
1973,32,"OAK",2,"L/LamoDa00",163,1,0
1974,33,"OAK",1,"L/LamoDa00",164,1,0
1970,23,"NWE",0,"P/PlunJi00",0,0,0
1971,24,"NWE",19,"P/PlunJi00",19,1,0
1972,25,"NWE",8,"P/PlunJi00",27,1,0
1973,26,"NWE",13,"P/PlunJi00",40,1,0
1974,27,"NWE",19,"P/PlunJi00",59,1,0
1975,28,"NWE",3,"P/PlunJi00",62,1,0
1976,29,"SFO",13,"P/PlunJi00",75,1,0
1977,30,"SFO",9,"P/PlunJi00",84,1,0
1979,32,"OAK",1,"P/PlunJi00",85,1,0
1980,33,"OAK",18,"P/PlunJi00",103,1,0
1981,34,"OAK",4,"P/PlunJi00",107,1,0
1982,35,"RAI",14,"P/PlunJi00",121,1,0
1983,36,"RAI",20,"P/PlunJi00",141,1,0
1984,37,"RAI",6,"P/PlunJi00",147,1,0
1985,38,"RAI",3,"P/PlunJi00",150,1,0
1986,39,"RAI",14,"P/PlunJi00",164,1,0
2007,22,"ATL",0,"R/RyanMa00",0,0,0
2008,23,"ATL",16,"R/RyanMa00",16,1,0
2009,24,"ATL",22,"R/RyanMa00",38,1,0
2010,25,"ATL",28,"R/RyanMa00",66,1,0
2011,26,"ATL",29,"R/RyanMa00",95,1,0
2012,27,"ATL",32,"R/RyanMa00",127,1,0
2013,28,"ATL",26,"R/RyanMa00",153,1,0
2013.41176470588,28.4117647058824,"ATL",13,"R/RyanMa00",166,1,1
1988,22,"DAL",0,"A/AikmTr00",0,0,0
1989,23,"DAL",9,"A/AikmTr00",9,1,0
1990,24,"DAL",11,"A/AikmTr00",20,1,0
1991,25,"DAL",11,"A/AikmTr00",31,1,0
1992,26,"DAL",23,"A/AikmTr00",54,1,0
1993,27,"DAL",15,"A/AikmTr00",69,1,0
1994,28,"DAL",13,"A/AikmTr00",82,1,0
1995,29,"DAL",16,"A/AikmTr00",98,1,0
1996,30,"DAL",12,"A/AikmTr00",110,1,0
1997,31,"DAL",19,"A/AikmTr00",129,1,0
1998,32,"DAL",12,"A/AikmTr00",141,1,0
1999,33,"DAL",17,"A/AikmTr00",158,1,0
2000,34,"DAL",7,"A/AikmTr00",165,1,0
1994,26,"MIN",0,"J/JohnBr00",0,1,0
1995,27,"MIN",0,"J/JohnBr00",0,1,0
1996,28,"MIN",17,"J/JohnBr00",17,1,0
1997,29,"MIN",20,"J/JohnBr00",37,1,0
1998,30,"MIN",7,"J/JohnBr00",44,1,0
1999,31,"WAS",24,"J/JohnBr00",68,1,0
2000,32,"WAS",11,"J/JohnBr00",79,1,0
2001,33,"TAM",13,"J/JohnBr00",92,1,0
2002,34,"TAM",22,"J/JohnBr00",114,1,0
2003,35,"TAM",26,"J/JohnBr00",140,1,0
2004,36,"TAM",3,"J/JohnBr00",143,1,0
2005,37,"MIN",12,"J/JohnBr00",155,1,0
2006,38,"MIN",9,"J/JohnBr00",164,1,0
2007,39,"DAL",0,"J/JohnBr00",164,1,0
2008,40,"DAL",2,"J/JohnBr00",166,1,0
2005,22,"DEN",0,"C/CutlJa00",0,0,0
2006,23,"DEN",9,"C/CutlJa00",9,1,0
2007,24,"DEN",20,"C/CutlJa00",29,1,0
2008,25,"DEN",25,"C/CutlJa00",54,1,0
2009,26,"CHI",27,"C/CutlJa00",81,1,0
2010,27,"CHI",23,"C/CutlJa00",104,1,0
2011,28,"CHI",13,"C/CutlJa00",117,1,0
2012,29,"CHI",19,"C/CutlJa00",136,1,0
2013,30,"CHI",19,"C/CutlJa00",155,1,0
2013.41176470588,30.4117647058824,"CHI",14,"C/CutlJa00",169,1,1
1996,24,"SEA",0,"K/KitnJo00",0,0,0
1997,25,"SEA",1,"K/KitnJo00",1,1,0
1998,26,"SEA",7,"K/KitnJo00",8,1,0
1999,27,"SEA",23,"K/KitnJo00",31,1,0
2000,28,"SEA",18,"K/KitnJo00",49,1,0
2001,29,"CIN",12,"K/KitnJo00",61,1,0
2002,30,"CIN",16,"K/KitnJo00",77,1,0
2003,31,"CIN",26,"K/KitnJo00",103,1,0
2004,32,"CIN",5,"K/KitnJo00",108,1,0
2005,33,"CIN",0,"K/KitnJo00",108,1,0
2006,34,"DET",21,"K/KitnJo00",129,1,0
2007,35,"DET",18,"K/KitnJo00",147,1,0
2008,36,"DET",5,"K/KitnJo00",152,1,0
2009,37,"DAL",0,"K/KitnJo00",152,1,0
2010,38,"DAL",16,"K/KitnJo00",168,1,0
2011,39,"DAL",1,"K/KitnJo00",169,1,0
2013,41,"DAL",0,"K/KitnJo00",169,1,0
1987,22,"IND",0,"C/ChanCh00",0,0,0
1988,23,"IND",8,"C/ChanCh00",8,1,0
1989,24,"IND",2,"C/ChanCh00",10,1,0
1990,25,"TAM",1,"C/ChanCh00",11,1,0
1991,26,"2TM",5,"C/ChanCh00",16,1,0
1992,27,"PHO",15,"C/ChanCh00",31,1,0
1993,28,"PHO",3,"C/ChanCh00",34,1,0
1994,29,"RAM",7,"C/ChanCh00",41,1,0
1995,30,"HOU",17,"C/ChanCh00",58,1,0
1996,31,"HOU",16,"C/ChanCh00",74,1,0
1997,32,"ATL",20,"C/ChanCh00",94,1,0
1998,33,"ATL",25,"C/ChanCh00",119,1,0
1999,34,"ATL",16,"C/ChanCh00",135,1,0
2000,35,"ATL",10,"C/ChanCh00",145,1,0
2001,36,"ATL",16,"C/ChanCh00",161,1,0
2002,37,"CHI",4,"C/ChanCh00",165,1,0
2003,38,"CHI",3,"C/ChanCh00",168,1,0
2004,39,"STL",2,"C/ChanCh00",170,1,0
1961,23,"STL",0,"J/JohnCh02",0,1,0
1962,24,"STL",16,"J/JohnCh02",16,1,0
1963,25,"STL",28,"J/JohnCh02",44,1,0
1964,26,"STL",21,"J/JohnCh02",65,1,0
1965,27,"STL",18,"J/JohnCh02",83,1,0
1966,28,"STL",10,"J/JohnCh02",93,1,0
1967,29,"STL",1,"J/JohnCh02",94,1,0
1968,30,"STL",1,"J/JohnCh02",95,1,0
1969,31,"STL",13,"J/JohnCh02",108,1,0
1970,32,"HOU",7,"J/JohnCh02",115,1,0
1971,33,"HOU",3,"J/JohnCh02",118,1,0
1972,34,"DEN",14,"J/JohnCh02",132,1,0
1973,35,"DEN",20,"J/JohnCh02",152,1,0
1974,36,"DEN",13,"J/JohnCh02",165,1,0
1975,37,"DEN",5,"J/JohnCh02",170,1,0
1948,22,"RAM",0,"V/VanBNo00",0,0,0
1949,23,"RAM",6,"V/VanBNo00",6,1,0
1950,24,"RAM",18,"V/VanBNo00",24,1,0
1951,25,"RAM",13,"V/VanBNo00",37,1,0
1952,26,"RAM",14,"V/VanBNo00",51,1,0
1953,27,"RAM",19,"V/VanBNo00",70,1,0
1954,28,"RAM",13,"V/VanBNo00",83,1,0
1955,29,"RAM",8,"V/VanBNo00",91,1,0
1956,30,"RAM",7,"V/VanBNo00",98,1,0
1957,31,"RAM",20,"V/VanBNo00",118,1,0
1958,32,"PHI",15,"V/VanBNo00",133,1,0
1959,33,"PHI",16,"V/VanBNo00",149,1,0
1960,34,"PHI",24,"V/VanBNo00",173,1,0
1964,21,"NYJ",0,"N/NamaJo00",0,0,0
1965,22,"NYJ",18,"N/NamaJo00",18,1,0
1966,23,"NYJ",19,"N/NamaJo00",37,1,0
1967,24,"NYJ",26,"N/NamaJo00",63,1,0
1968,25,"NYJ",15,"N/NamaJo00",78,1,0
1969,26,"NYJ",19,"N/NamaJo00",97,1,0
1970,27,"NYJ",5,"N/NamaJo00",102,1,0
1971,28,"NYJ",5,"N/NamaJo00",107,1,0
1972,29,"NYJ",19,"N/NamaJo00",126,1,0
1973,30,"NYJ",5,"N/NamaJo00",131,1,0
1974,31,"NYJ",20,"N/NamaJo00",151,1,0
1975,32,"NYJ",15,"N/NamaJo00",166,1,0
1976,33,"NYJ",4,"N/NamaJo00",170,1,0
1977,34,"RAM",3,"N/NamaJo00",173,1,0
1947,26,"NYG",0,"C/ConeCh00",0,0,0
1948,27,"NYG",22,"C/ConeCh00",22,1,0
1949,28,"NYG",17,"C/ConeCh00",39,1,0
1950,29,"NYG",8,"C/ConeCh00",47,1,0
1951,30,"NYG",10,"C/ConeCh00",57,1,0
1952,31,"NYG",13,"C/ConeCh00",70,1,0
1953,32,"NYG",13,"C/ConeCh00",83,1,0
1954,33,"NYG",17,"C/ConeCh00",100,1,0
1955,34,"NYG",13,"C/ConeCh00",113,1,0
1956,35,"NYG",10,"C/ConeCh00",123,1,0
1957,36,"NYG",11,"C/ConeCh00",134,1,0
1958,37,"NYG",10,"C/ConeCh00",144,1,0
1959,38,"NYG",14,"C/ConeCh00",158,1,0
1960,39,"NYG",8,"C/ConeCh00",166,1,0
1961,40,"NYG",7,"C/ConeCh00",173,1,0
1945,24,"CLE",0,"G/GrahOt00",0,0,0
1946,25,"CLE",17,"G/GrahOt00",17,1,0
1947,26,"CLE",25,"G/GrahOt00",42,1,0
1948,27,"CLE",25,"G/GrahOt00",67,1,0
1949,28,"CLE",19,"G/GrahOt00",86,1,0
1950,29,"CLE",14,"G/GrahOt00",100,1,0
1951,30,"CLE",17,"G/GrahOt00",117,1,0
1952,31,"CLE",20,"G/GrahOt00",137,1,0
1953,32,"CLE",11,"G/GrahOt00",148,1,0
1954,33,"CLE",11,"G/GrahOt00",159,1,0
1955,34,"CLE",15,"G/GrahOt00",174,1,0
1994,21,"HOU",0,"M/McNaSt00",0,0,0
1995,22,"HOU",3,"M/McNaSt00",3,1,0
1996,23,"HOU",6,"M/McNaSt00",9,1,0
1997,24,"TEN",14,"M/McNaSt00",23,1,0
1998,25,"TEN",15,"M/McNaSt00",38,1,0
1999,26,"TEN",12,"M/McNaSt00",50,1,0
2000,27,"TEN",15,"M/McNaSt00",65,1,0
2001,28,"TEN",21,"M/McNaSt00",86,1,0
2002,29,"TEN",22,"M/McNaSt00",108,1,0
2003,30,"TEN",24,"M/McNaSt00",132,1,0
2004,31,"TEN",8,"M/McNaSt00",140,1,0
2005,32,"TEN",16,"M/McNaSt00",156,1,0
2006,33,"BAL",16,"M/McNaSt00",172,1,0
2007,34,"BAL",2,"M/McNaSt00",174,1,0
1951,21,"GNB",0,"P/PariBa00",0,0,0
1952,22,"GNB",13,"P/PariBa00",13,1,0
1953,23,"GNB",4,"P/PariBa00",17,1,0
1956,26,"CLE",3,"P/PariBa00",20,1,0
1957,27,"GNB",4,"P/PariBa00",24,1,0
1958,28,"GNB",10,"P/PariBa00",34,1,0
1960,30,"OAK",5,"P/PariBa00",39,1,0
1961,31,"BOS",13,"P/PariBa00",52,1,0
1962,32,"BOS",18,"P/PariBa00",70,1,0
1963,33,"BOS",13,"P/PariBa00",83,1,0
1964,34,"BOS",31,"P/PariBa00",114,1,0
1965,35,"BOS",18,"P/PariBa00",132,1,0
1966,36,"BOS",20,"P/PariBa00",152,1,0
1967,37,"BOS",19,"P/PariBa00",171,1,0
1968,38,"NYJ",5,"P/PariBa00",176,1,0
1969,39,"NYJ",2,"P/PariBa00",178,1,0
1974,23,"RAM",0,"J/JawoRo00",0,1,0
1975,24,"RAM",0,"J/JawoRo00",0,1,0
1976,25,"RAM",1,"J/JawoRo00",1,1,0
1977,26,"PHI",18,"J/JawoRo00",19,1,0
1978,27,"PHI",16,"J/JawoRo00",35,1,0
1979,28,"PHI",18,"J/JawoRo00",53,1,0
1980,29,"PHI",27,"J/JawoRo00",80,1,0
1981,30,"PHI",23,"J/JawoRo00",103,1,0
1982,31,"PHI",12,"J/JawoRo00",115,1,0
1983,32,"PHI",20,"J/JawoRo00",135,1,0
1984,33,"PHI",16,"J/JawoRo00",151,1,0
1985,34,"PHI",17,"J/JawoRo00",168,1,0
1986,35,"PHI",8,"J/JawoRo00",176,1,0
1988,37,"MIA",1,"J/JawoRo00",177,1,0
1989,38,"KAN",2,"J/JawoRo00",179,1,0
1987,22,"MIN",0,"G/GannRi00",0,1,0
1988,23,"MIN",0,"G/GannRi00",0,1,0
1989,24,"MIN",0,"G/GannRi00",0,1,0
1990,25,"MIN",16,"G/GannRi00",16,1,0
1991,26,"MIN",12,"G/GannRi00",28,1,0
1992,27,"MIN",12,"G/GannRi00",40,1,0
1993,28,"WAS",3,"G/GannRi00",43,1,0
1995,30,"KAN",0,"G/GannRi00",43,1,0
1996,31,"KAN",6,"G/GannRi00",49,1,0
1997,32,"KAN",7,"G/GannRi00",56,1,0
1998,33,"KAN",10,"G/GannRi00",66,1,0
1999,34,"OAK",24,"G/GannRi00",90,1,0
2000,35,"OAK",28,"G/GannRi00",118,1,0
2001,36,"OAK",27,"G/GannRi00",145,1,0
2002,37,"OAK",26,"G/GannRi00",171,1,0
2003,38,"OAK",6,"G/GannRi00",177,1,0
2004,39,"OAK",3,"G/GannRi00",180,1,0
1974,21,"NWE",0,"G/GrogSt00",0,0,0
1975,22,"NWE",11,"G/GrogSt00",11,1,0
1976,23,"NWE",18,"G/GrogSt00",29,1,0
1977,24,"NWE",17,"G/GrogSt00",46,1,0
1978,25,"NWE",15,"G/GrogSt00",61,1,0
1979,26,"NWE",28,"G/GrogSt00",89,1,0
1980,27,"NWE",18,"G/GrogSt00",107,1,0
1981,28,"NWE",7,"G/GrogSt00",114,1,0
1982,29,"NWE",7,"G/GrogSt00",121,1,0
1983,30,"NWE",15,"G/GrogSt00",136,1,0
1984,31,"NWE",3,"G/GrogSt00",139,1,0
1985,32,"NWE",7,"G/GrogSt00",146,1,0
1986,33,"NWE",9,"G/GrogSt00",155,1,0
1987,34,"NWE",10,"G/GrogSt00",165,1,0
1988,35,"NWE",4,"G/GrogSt00",169,1,0
1989,36,"NWE",9,"G/GrogSt00",178,1,0
1990,37,"NWE",4,"G/GrogSt00",182,1,0
1964,21,"DAL",0,"M/MortCr00",0,0,0
1965,22,"DAL",2,"M/MortCr00",2,1,0
1966,23,"DAL",3,"M/MortCr00",5,1,0
1967,24,"DAL",10,"M/MortCr00",15,1,0
1968,25,"DAL",4,"M/MortCr00",19,1,0
1969,26,"DAL",21,"M/MortCr00",40,1,0
1970,27,"DAL",15,"M/MortCr00",55,1,0
1971,28,"DAL",7,"M/MortCr00",62,1,0
1972,29,"DAL",15,"M/MortCr00",77,1,0
1973,30,"DAL",3,"M/MortCr00",80,1,0
1974,31,"2TM",9,"M/MortCr00",89,1,0
1975,32,"NYG",11,"M/MortCr00",100,1,0
1976,33,"NYG",9,"M/MortCr00",109,1,0
1977,34,"DEN",14,"M/MortCr00",123,1,0
1978,35,"DEN",11,"M/MortCr00",134,1,0
1979,36,"DEN",16,"M/MortCr00",150,1,0
1980,37,"DEN",12,"M/MortCr00",162,1,0
1981,38,"DEN",21,"M/MortCr00",183,1,0
1982,39,"DEN",0,"M/MortCr00",183,1,0
1994,24,"GNB",0,"B/BrunMa00",0,1,0
1995,25,"JAX",15,"B/BrunMa00",15,1,0
1996,26,"JAX",19,"B/BrunMa00",34,1,0
1997,27,"JAX",18,"B/BrunMa00",52,1,0
1998,28,"JAX",20,"B/BrunMa00",72,1,0
1999,29,"JAX",14,"B/BrunMa00",86,1,0
2000,30,"JAX",20,"B/BrunMa00",106,1,0
2001,31,"JAX",19,"B/BrunMa00",125,1,0
2002,32,"JAX",17,"B/BrunMa00",142,1,0
2003,33,"JAX",2,"B/BrunMa00",144,1,0
2004,34,"WAS",7,"B/BrunMa00",151,1,0
2005,35,"WAS",23,"B/BrunMa00",174,1,0
2006,36,"WAS",8,"B/BrunMa00",182,1,0
2008,38,"NOR",0,"B/BrunMa00",182,1,0
2009,39,"NOR",0,"B/BrunMa00",182,1,0
2010,40,"NYJ",2,"B/BrunMa00",184,1,0
2011,41,"NYJ",0,"B/BrunMa00",184,1,0
1936,22,"WAS",0,"B/BaugSa00",0,0,0
1937,23,"WAS",8,"B/BaugSa00",8,1,0
1938,24,"WAS",5,"B/BaugSa00",13,1,0
1939,25,"WAS",6,"B/BaugSa00",19,1,0
1940,26,"WAS",12,"B/BaugSa00",31,1,0
1941,27,"WAS",10,"B/BaugSa00",41,1,0
1942,28,"WAS",16,"B/BaugSa00",57,1,0
1943,29,"WAS",23,"B/BaugSa00",80,1,0
1944,30,"WAS",4,"B/BaugSa00",84,1,0
1945,31,"WAS",11,"B/BaugSa00",95,1,0
1946,32,"WAS",8,"B/BaugSa00",103,1,0
1947,33,"WAS",25,"B/BaugSa00",128,1,0
1948,34,"WAS",22,"B/BaugSa00",150,1,0
1949,35,"WAS",18,"B/BaugSa00",168,1,0
1950,36,"WAS",10,"B/BaugSa00",178,1,0
1951,37,"WAS",7,"B/BaugSa00",185,1,0
1952,38,"WAS",2,"B/BaugSa00",187,1,0
1966,21,"MIA",0,"G/GrieBo00",0,0,0
1967,22,"MIA",15,"G/GrieBo00",15,1,0
1968,23,"MIA",21,"G/GrieBo00",36,1,0
1969,24,"MIA",10,"G/GrieBo00",46,1,0
1970,25,"MIA",12,"G/GrieBo00",58,1,0
1971,26,"MIA",19,"G/GrieBo00",77,1,0
1972,27,"MIA",4,"G/GrieBo00",81,1,0
1973,28,"MIA",17,"G/GrieBo00",98,1,0
1974,29,"MIA",16,"G/GrieBo00",114,1,0
1975,30,"MIA",14,"G/GrieBo00",128,1,0
1976,31,"MIA",11,"G/GrieBo00",139,1,0
1977,32,"MIA",22,"G/GrieBo00",161,1,0
1978,33,"MIA",11,"G/GrieBo00",172,1,0
1979,34,"MIA",14,"G/GrieBo00",186,1,0
1980,35,"MIA",6,"G/GrieBo00",192,1,0
1970,25,"OAK",0,"S/StabKe00",0,1,0
1971,26,"OAK",1,"S/StabKe00",1,1,0
1972,27,"OAK",4,"S/StabKe00",5,1,0
1973,28,"OAK",14,"S/StabKe00",19,1,0
1974,29,"OAK",26,"S/StabKe00",45,1,0
1975,30,"OAK",16,"S/StabKe00",61,1,0
1976,31,"OAK",27,"S/StabKe00",88,1,0
1977,32,"OAK",20,"S/StabKe00",108,1,0
1978,33,"OAK",16,"S/StabKe00",124,1,0
1979,34,"OAK",26,"S/StabKe00",150,1,0
1980,35,"HOU",13,"S/StabKe00",163,1,0
1981,36,"HOU",14,"S/StabKe00",177,1,0
1982,37,"NOR",6,"S/StabKe00",183,1,0
1983,38,"NOR",9,"S/StabKe00",192,1,0
1984,39,"NOR",2,"S/StabKe00",194,1,0
1977,23,"SFO",0,"D/DebeSt00",0,0,0
1978,24,"SFO",8,"D/DebeSt00",8,1,0
1979,25,"SFO",17,"D/DebeSt00",25,1,0
1980,26,"SFO",12,"D/DebeSt00",37,1,0
1981,27,"DEN",6,"D/DebeSt00",43,1,0
1982,28,"DEN",7,"D/DebeSt00",50,1,0
1983,29,"DEN",9,"D/DebeSt00",59,1,0
1984,30,"TAM",19,"D/DebeSt00",78,1,0
1985,31,"TAM",19,"D/DebeSt00",97,1,0
1986,32,"TAM",5,"D/DebeSt00",102,1,0
1987,33,"TAM",14,"D/DebeSt00",116,1,0
1988,34,"KAN",16,"D/DebeSt00",132,1,0
1989,35,"KAN",11,"D/DebeSt00",143,1,0
1990,36,"KAN",23,"D/DebeSt00",166,1,0
1991,37,"KAN",17,"D/DebeSt00",183,1,0
1992,38,"TAM",3,"D/DebeSt00",186,1,0
1993,39,"2TM",7,"D/DebeSt00",193,1,0
1998,44,"ATL",3,"D/DebeSt00",196,1,0
1972,22,"BUF",0,"F/FergJo00",0,0,0
1973,23,"BUF",4,"F/FergJo00",4,1,0
1974,24,"BUF",12,"F/FergJo00",16,1,0
1975,25,"BUF",25,"F/FergJo00",41,1,0
